Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
76;0.4050899819466969;Donte DiVincenzo;New Contract;66;1947;897.6;212.78400000000002;271.26000000000005;269.28000000000003;86.46000000000001;21.78;119.46000000000001;0.43;720.0600000000001;0.79;77.88;0.5955821113597239;2.142037224284338;0.966249844659129;0.20531339527117762;1.4482052096585638;-0.1679928605193877;-0.75588147720196;-0.9907145344232718;0.20301092443195892
77;0.40131631037102444;Cam Whitmore;;77;2109.7999999999997;1362.8999999999999;168.6608;462.77;147.07;69.3;36.96;100.87;0.47;1074.1499999999999;0.75;250.25;1.5346747016645708;1.4771294184134554;0.06776924816986553;1.2410912374220247;0.8873289296733122;0.34242718763314617;-0.45216751533271327;-0.02551111858568343;-1.460895295718758
78;0.4003233520529975;James Harden;Player Option, New Contract;74;2560.4;1568.8;221.30440000000002;409.22;599.4;99.16000000000001;51.8;280.46;0.42;1090.76;0.88;497.28;1.9502327595707993;2.2704340873663957;3.393272302011519;0.9514671789019586;1.8633059530042917;0.8414149026913543;-3.3862175643966186;-1.8088984438277642;-2.4721010068449587
79;0.3906043564322375;Zion Williamson;Unrestricted Free Agent;54;1652.4;1350;8.0028;389.88;291.6;63.72;43.74;167.94;0.57;912.0600000000001;0.69;440.1;1.5086392526748171;-0.9438817112327201;1.1303451471191597;0.8468671921273911;0.7049460833844019;0.5704013593376376;-1.5479230517808236;2.948266756415896;-1.7022218201556223
80;0.39020074723183756;Jay Huff;New Team, New Contract;69;1607.7;683.1;104.67299999999999;314.64;74.52000000000001;40.71;87.63;63.480000000000004;0.51;496.8;0.8;86.25;0.16266708746032632;0.5128750646833357;-0.46561400422597793;0.4399332208286091;-0.04713801932309388;2.046181063778659;0.1586912815629905;0.5875107104826485;0.11670031983904107
81;0.38864659045127437;Brandin Podziemski;New Contract;69;2035.5;966;163.6128;370.53000000000003;235.98;80.03999999999999;12.42;86.94;0.46;760.38;0.76;141.45;0.7336305385612102;1.4010593554072315;0.72143024018247;0.742213120561317;1.2383668811326127;-0.48271826570434934;-0.2245862625710883;-0.2945100533977278;-0.33706624011020714
82;0.3842879702489569;Brandon Miller;;68;2346;1489.1999999999998;270.8032;341.35999999999996;273.35999999999996;77.52;48.96;189.04;0.41;1250.52;0.86;208.08;1.7895799115409992;3.0163486742785324;0.9962457601625749;0.5844477837353534;1.156000434421492;0.7459212968446354;-1.892644116624347;-2.4691377527855387;-0.46817025933309
83;0.38247612948077286;De'Aaron Fox;New Contract;75;2580;1657.5;138.72;306.75;488.25;105.75;32.25;209.25;0.46;1302.75;0.81;397.5;2.129251699523604;1.0259411176098214;2.5761041627448336;0.3972603203295742;2.0787007481734525;0.1840557497676366;-2.2228248142777884;-0.4370431503850989;-2.2891606681590795
84;0.38185358115530843;T.J. McConnell;;74;1753.8;747.4;37.296;216.07999999999998;457.32;99.9;21.459999999999997;140.6;0.51;623.8199999999999;0.8;89.53999999999999;0.292440682037162;-0.5024523194629276;2.3487086562444413;-0.09312648426453239;1.887492925451208;-0.1787527034316942;-1.1012560416944759;0.7619319102174775;0.021695605301116482
85;0.38154437604736186;Sam Hauser;;69;1904.4;834.9;225.7542;333.27;114.53999999999999;49.68;20.009999999999998;54.510000000000005;0.45;632.04;0.88;53.13;0.4690377197583615;2.337489667074219;-0.17138936244952513;0.5406931874061783;0.24604730885101464;-0.22750824162808245;0.30523857784955005;-0.46758314383677496;0.4018736714013159
86;0.37970363829578374;Miles Bridges;;65;2093;1267.5;150.05900000000003;547.3;241.8;45.5;49.4;129.35;0.44;1027.65;0.86;239.85;1.342133474251972;1.196812441783271;0.7642185314153276;1.6982699800308236;0.10942359962383809;0.7607160808490565;-0.917459265415346;-1.037231971748835;-0.49955012612805466
87;0.37472315213354584;Tari Eason;;58;1467.4;713.4000000000001;63.89280000000001;368.29999999999995;88.16;93.38000000000001;45.82;71.34;0.49;591.5999999999999;0.76;94.53999999999999;0.22382011880835326;-0.10165591459685533;-0.3653335416115148;0.7301522120552523;1.6743860871351337;0.640340338267629;0.030278600535971756;0.3305507649980582;0.20996970360988423
88;0.3734260469077624;Santi Aldama;;73;1949.1;890.5999999999999;147.4746;437.27000000000004;230.68;59.13;43.07;90.52;0.45;734.38;0.65;121.17999999999999;0.5814543483420278;1.1578672217291335;0.6824649577882872;1.1031750190791363;0.5549214840177178;0.547872938239996;-0.2830744811559136;-0.5279629207552046;-0.45588414511531883
89;0.3718274984121177;Deni Avdija;Unrestricted Free Agent;74;2397.6;1650.2;167.56560000000002;608.2800000000001;378.88;78.44;33.300000000000004;244.94;0.48;1148.48;0.79;481.74;2.1145184609480068;1.4606254697200294;1.7720224768105342;2.0280790386406027;1.1860707244906314;0.21936148432364205;-2.8059098760913126;0.35505271354083817;-2.983373006673912
90;0.368140178397675;Kristaps Porziņģis;Unrestricted Free Agent, New Team;51;1377;989.4;117.5499;359.04;98.94;36.21;74.97;65.28;0.46;704.82;0.82;267.75;0.780857632077508;0.7069215374101271;-0.28607962760976163;0.6800696951197566;-0.19422095987866675;1.6204947785605381;0.12928379735832976;-0.27990906354095474;0.15584381608219816
91;0.3599518621819014;Bobby Portis;;68;1679.6;931.5999999999999;90.96360000000001;540.6;152.32000000000002;54.400000000000006;31.959999999999997;76.83999999999999;0.47;811.24;0.81;104.72;0.6642026745885327;0.3062833606862037;0.10636693356032996;1.662033169721124;0.40032097094486013;0.17430464212835886;-0.05957760120049152;-0.042442094048875986;0.028074703257071013
92;0.3578237677335022;Devin Vassell;New Contract;63;1789.1999999999998;932.4000000000001;165.9042;254.52;146.16;79.38;27.09;75.6;0.45;783.7199999999999;0.83;75.6;0.6658172760762697;1.4355892568280837;0.06107898270218509;0.11477545428843404;1.2167947165177955;0.01055328280669624;-0.03931911208172529;-0.5570731239324108;0.3121971763961919
93;0.3547557516537311;Cooper Flagg;;73;2452.8;1255.6;138.2255;400.77000000000004;236.52;91.98;77.38000000000001;197.82999999999998;0.45;964.33;0.83;303.68;1.3181162771218886;1.0184893255819736;0.7254002878226322;0.9057655300785309;1.6286269500733996;1.701529845493846;-2.0362506644904403;-0.6636315713550955;-1.4052442154431553
94;0.3487661535213461;Coby White;New Team;74;2419.8;1657.6;227.772;294.52;321.15999999999997;65.12;15.54;177.6;0.47;1154.3999999999999;0.9;390.72;2.129453524709571;2.3678965951910884;1.3476684957176588;0.3311146203164945;0.7507052204461359;-0.37780979730936215;-1.705743217012503;-0.020343149391197992;-1.6840469109757703
95;0.34547377226757386;Zach Edey;;54;1258.2;604.8;22.113;495.71999999999997;62.099999999999994;33.48;78.3;77.22;0.6;401.21999999999997;0.71;146.34;0.004637966848098529;-0.7312502130095787;-0.5569250999497048;1.4193006254376395;-0.2834512771490477;1.7324643938667263;-0.06578584786592007;1.6377574485727013;-0.04748404634274934
96;0.3432370813999899;Obi Toppin;;78;1840.8000000000002;1021.8;136.5078;389.22;188.76;42.900000000000006;34.32;103.74000000000001;0.51;741.78;0.75;156;0.8462489923308436;0.992604708461175;0.37427162987052326;0.8432975958879284;0.024442345080618398;0.2536584836066185;-0.4990561151479225;0.92391210798728;-0.6702460154771559
97;0.3401918665901113;Zaccharie Risacher;Restricted Free Agent;76;2128;1140;162.5944;302.48;111.72;59.28;45.6;107.16;0.49;881.6;0.71;161.88;1.0848063621439383;1.3857127325535197;-0.19212183345926015;0.3741661143560788;0.5598242487029035;0.6329429462654184;-0.5549303351367777;0.5389994872530445;-0.7676729233678632
