Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
356;-0.3559163926015083;Kobe Bufkin;;43;13.2;6.2;0.7458;2.2;1.78;0.39;0.23;0.83;0.44;5.35;0.74;1.09;-0.5062170751759406;-0.40822139387373496;-0.21273099410791949;-0.6383946329275054;-0.7300200503172463;-0.481002589485445;0.4240831598239776;-0.3888758743152847;-0.26186808303447623
357;-0.3581156207812957;Svi Mykhailiuk;Unrestricted Free Agent;46;15.2;6.8;1.4183999999999999;1.81;1.58;0.38;0.1;0.8;0.41;5.92;0.77;0.7;-0.4154168832706055;0.3230583303928877;-0.3198135619285352;-0.7979385027425496;-0.7552034935314758;-0.7875715550796702;0.4607847646350275;-0.8064482507344287;-0.12449143477231174
358;-0.3598918317018086;Jeremiah Fears;;63;19.7;9.2;0.77;2.57;2.52;0.91;0.12;2.48;0.39;7.85;0.82;2.84;-0.052216115649265;-0.38191011030660404;0.18347450682835884;-0.4870325000260533;0.5795189968226843;-0.7404070988344048;-1.5945051047837708;-1.3870195702509276;0.6410705108837051
359;-0.3655801337032171;Kyle Lowry;New Contract;38;14.3;2.6;0.567;1.45;2.04;0.54;0.2;0.48;0.36;2.21;0.84;0.45;-1.0510182266079515;-0.6026204641961737;-0.07352365594111898;-0.9452097671872057;-0.3522684021038047;-0.5517492738533432;0.8522685492862272;-0.5794845674197504;0.013384604694167163
360;-0.3677656754439759;James Wiseman;;47;12.8;5.5;0.10800000000000001;3.9;0.53;0.13;0.44;0.82;0.56;4.04;0.69;1.25;-0.6121506323988316;-1.1016650574735745;-0.881997042986768;0.057053004727815396;-1.3847895738872116;0.014224201089841874;0.4363170280943276;0.7360521037604891;-0.5729351099218715
361;-0.37030473297299094;Noa Essengue;;55;15.8;7.4;0.5211;2.61;0.75;0.53;0.27;0.7;0.45;6.04;0.71;2.02;-0.32461669136527027;-0.6525249235239137;-0.7642062183840906;-0.4706690261988693;-0.37745184531803416;-0.3866736769949141;0.5831234473385275;-0.3005233102094056;-0.639200352100948
362;-0.37127544335442714;Nique Clifford;;73;15.8;5.2;0.7227;3.16;1.45;0.49;0.26;1.15;0.43;4.58;0.72;0.85;-0.6575507283514992;-0.43333671000599633;-0.38941723101193554;-0.24567126107508888;-0.478185618174952;-0.4102559051175469;0.03259937517277798;-0.4408888906806134;-0.31877202094498985
363;-0.3719795217572118;Liam McNeeley;;68;17.3;6;1.0604999999999998;2.87;1.11;0.35;0.14;1.05;0.4;5.05;0.86;1.11;-0.5364838058110524;-0.0660659831887721;-0.5714575963069822;-0.36430644632217307;-0.8307538231741641;-0.6932426425891394;0.1549380578762777;-0.8062443422454475;0.3658008859465472
364;-0.3750456309742729;Pelle Larsson;;71;14.8;5.5;0.6405;1.87;1.41;0.62;0.12;0.59;0.45;4.38;0.68;1.29;-0.6121506323988316;-0.5227080946844329;-0.4108337445760587;-0.7733932920017735;-0.15080085638996935;-0.7404070988344048;0.7176959983123774;-0.23553808715915664;-0.6472748710362058
365;-0.3760611829062895;Nae'Qwan Tomlin;;17;11.9;5.8;0.3861;2.86;0.46;0.34;0.3;0.48;0.45;4.77;0.76;1.53;-0.5667505364461641;-0.7993027450760904;-0.9194759417239835;-0.36839731477896914;-0.8559372663883934;-0.31592699262701607;0.8522685492862272;-0.2508056998034957;-0.16022269859872038
366;-0.3816576479171003;Leonard Miller;;42;8.1;4.8;0.25;2.59;0.32;0.24;0.24;0.38;0.51;3.22;0.79;1.61;-0.7180841896217227;-0.9472765340631367;-0.9944337391984145;-0.47885076311246133;-1.1077716985306878;-0.45742036136281233;0.9746072319897271;0.22647920843553646;0.0678320142100695
367;-0.38378446944154443;Spencer Dinwiddie;Unrestricted Free Agent, New Contract, New Team;61;15.8;6.1;0.8085000000000001;1.52;2.15;0.45;0.14;0.8;0.41;4.99;0.76;1.54;-0.5213504404934965;-0.3400512500861684;-0.014628243639780387;-0.9165736879896338;-0.5789193910318696;-0.6932426425891394;0.4607847646350275;-0.6898247922458476;-0.16025454153299218
368;-0.38466540639170144;Jase Richardson;;74;14.2;5.4;0.7056;1.52;0.91;0.39;0.15;0.69;0.47;4.25;0.81;0.94;-0.6272839977163874;-0.4519285674026054;-0.678540164127598;-0.9165736879896338;-0.7300200503172463;-0.6696604144665066;0.5953573156088775;-0.0471595085525434;0.0638204174383306
369;-0.3871297076780593;Amari Williams;New Team, New Contract;44;12.2;5.1;0.04;3.61;1.04;0.36;0.65;1.12;0.5;4.02;0.65;1.52;-0.6726840936690551;-1.1755975898109672;-0.6089364950441978;-0.061582180519268774;-0.8055703799599346;0.5094509916651289;0.06930097998382771;0.21198054970565647;-0.9505291514537233
370;-0.39475826079138593;Orlando Robinson;New Team;14;11.8;4;0.252;3.31;1.04;0.26;0.27;0.71;0.48;3.28;0.77;0.76;-0.8391511121621695;-0.9451020478179193;-0.6089364950441978;-0.18430823422314885;-1.0574048121022288;-0.3866736769949141;0.5708895790681775;0.01970880045653892;-0.12184634830261132
371;-0.39596947087986034;Ariel Hukporti;Restricted Free Agent;42;11.1;3.5;0;2.79;0.51;0.22;0.62;0.82;0.67;2.26;0.59;0.77;-0.9148179387499488;-1.2190873147153158;-0.8927052997688295;-0.39703339397654114;-1.1581385849591468;0.43870430729723064;0.4363170280943276;0.9195898900508978;-0.7765539311914174
372;-0.40485691577347777;Branden Carlson;;16;7.9;3.5;0.6265;1.54;0.4;0.14;0.55;0.32;0.46;2.75;0.75;0.5;-0.9148179387499488;-0.5379294984009549;-0.9516007120701683;-0.9083919510760418;-1.359606130672982;0.27362871043880177;1.048010441611827;-0.1124277999816265;-0.18057736306020628
373;-0.408795129951709;Asa Newell;;44;11.8;4.3;0.3976;2.61;0.42;0.36;0.4;0.51;0.42;3.8;0.76;0.92;-0.793751016209502;-0.7867994491660902;-0.9408924552881067;-0.4706690261988693;-0.8055703799599346;-0.08010471140068891;0.8155669444751772;-0.45865579620988495;-0.15828027960748145
374;-0.4093482836135148;Gui Santos;Restricted Free Agent;66;11.8;3.7;0.5301;2.75;1.19;0.36;0.15;0.61;0.44;2.9;0.75;0.74;-0.884551208114837;-0.6427397354204352;-0.528624569178736;-0.41339686780372514;-0.8055703799599346;-0.6696604144665066;0.6932282617716774;-0.2401334695618468;-0.1926861697872889
375;-0.4165684609906603;Johni Broome;;18;10.8;4;0.09839999999999999;2.68;0.52;0.29;0.55;0.67;0.51;3.34;0.64;0.81;-0.8391511121621695;-1.1121025914506182;-0.8873511713777987;-0.44203294700129714;-0.9818544824595407;0.27362871043880177;0.6198250521495774;0.2373071733049223;-0.6173847803578199
376;-0.41810092850635794;Duop Reath;;41;9.1;4.1;0.693;1.8;0.44;0.24;0.29;0.37;0.46;3.4;0.76;0.44;-0.8240177468446137;-0.4656278307474753;-0.9301841985060451;-0.8020293711993456;-1.1077716985306878;-0.3395092207496488;0.9868411002600771;-0.12385757148060143;-0.15675181875888064
377;-0.41855136447190994;Jae'Sean Tate;New Contract;51;12.2;3.7;0.35840000000000005;2.18;0.93;0.47;0.18;0.42;0.46;3.18;0.67;0.61;-0.884551208114837;-0.8294193795723518;-0.6678319073455364;-0.6465763698410973;-0.5285525046034109;-0.5989137300986086;0.9256717589083272;-0.11998903343479767;-0.41679990614487705
378;-0.4247665694513829;Gary Harris;Player Option, New Team, New Contract;51;14.2;2.8;0.6408;1.14;0.72;0.54;0.2;0.32;0.41;2.51;0.7;0.13;-1.0207514959728399;-0.5223819217476502;-0.7802686035571831;-1.072026689347882;-0.3522684021038047;-0.5517492738533432;1.048010441611827;-0.3788289029428637;-0.1926342771487068
379;-0.4294825282828029;Maxi Kleber;Unrestricted Free Agent;46;14.2;2.8;0.45210000000000006;1.9;0.86;0.22;0.44;0.44;0.43;2.27;0.76;0.54;-1.0207514959728399;-0.727544698983915;-0.7053108060827521;-0.7611206866313857;-1.1581385849591468;0.014224201089841874;0.9012040223676272;-0.25083445726969217;-0.15707024810296388
